Well,Row,Column,Content,Data_Column,O2_Value,Timepoint
F05,F,5,"GEMCI
1.67",GEMCI_1.666666667_5,6.972727272727273,avg of last 10h
F06,F,6,"GEMCI
1.67",GEMCI_1.666666667_6,12.22,avg of last 10h
F07,F,7,"GEMCI
1.67",GEMCI_1.666666667_7,11.081818181818182,avg of last 10h
F08,F,8,Empty,,,avg of last 10h
F09,F,9,"GEMCI
5",GEMCI_5.0_5,23.0,avg of last 10h
F10,F,10,"GEMCI
5",GEMCI_5.0_6,13.154545454545456,avg of last 10h
F11,F,11,Empty,,,avg of last 10h
F12,F,12,Empty,,,avg of last 10h
F13,F,13,Empty,GEMCI_15.0_5,,avg of last 10h
F14,F,14,"GEMCI
15",GEMCI_15.0_6,10.350000000000001,avg of last 10h
F15,F,15,Empty,GEMCI_15.0_7,,avg of last 10h
F16,F,16,"GEMCI
15",GEMCI_15.0_8,9.227272727272728,avg of last 10h
F17,F,17,"GEMCI
45",GEMCI_45.0_5,8.989999999999998,avg of last 10h
F18,F,18,Empty,GEMCI_45.0_6,,avg of last 10h
F19,F,19,"GEMCI
45",GEMCI_45.0_7,15.219999999999999,avg of last 10h
F20,F,20,Empty,,,avg of last 10h
F21,F,21,DMSO,DMSO_0.1_5,23.6,avg of last 10h
F22,F,22,DMSO,DMSO_0.1_6,6.654545454545456,avg of last 10h
F23,F,23,Empty,,,avg of last 10h
F24,F,24,Empty,,,avg of last 10h
G01,G,1,"VINC
0.167",VINC_0.166666667_1,29.863636363636363,avg of last 10h
G02,G,2,"VINC
0.167",VINC_0.166666667_2,49.91818181818182,avg of last 10h
G03,G,3,"VINC
0.167",VINC_0.166666667_3,55.78181818181818,avg of last 10h
G04,G,4,"VINC
0.167",VINC_0.166666667_4,57.73636363636364,avg of last 10h
G05,G,5,Empty,VINC_0.5_1,,avg of last 10h
G06,G,6,"VINC
0.5",VINC_0.5_2,49.345454545454544,avg of last 10h
G07,G,7,Empty,VINC_0.5_3,,avg of last 10h
G08,G,8,"VINC
0.5",VINC_0.5_4,56.78181818181818,avg of last 10h
G09,G,9,"VINC
1.5",VINC_1.5_1,61.42727272727273,avg of last 10h
G10,G,10,"VINC
1.5",VINC_1.5_2,58.48181818181819,avg of last 10h
G11,G,11,Empty,VINC_1.5_3,,avg of last 10h
G12,G,12,"VINC
1.5",VINC_1.5_4,57.145454545454534,avg of last 10h
G13,G,13,Empty,VINC_4.5_1,,avg of last 10h
G14,G,14,Empty,VINC_4.5_2,,avg of last 10h
G15,G,15,"VINC
4.5",VINC_4.5_3,51.72727272727273,avg of last 10h
G16,G,16,Empty,VINC_4.5_4,,avg of last 10h
G17,G,17,"VINC
13.5",VINC_13.5_1,48.95454545454545,avg of last 10h
G18,G,18,"VINC
13.5",VINC_13.5_2,57.22222222222222,avg of last 10h
G19,G,19,"VINC
13.5",VINC_13.5_3,50.76363636363636,avg of last 10h
G20,G,20,"VINC
13.5",VINC_13.5_4,50.290909090909096,avg of last 10h
G21,G,21,DMSO,DMSO_0.3_1,5.763636363636365,avg of last 10h
G22,G,22,DMSO,DMSO_0.3_2,10.28888888888889,avg of last 10h
G23,G,23,DMSO,DMSO_0.3_3,4.781818181818182,avg of last 10h
G24,G,24,DMSO,DMSO_0.3_4,7.072727272727272,avg of last 10h
H01,H,1,"VINC
0.167",VINC_0.166666667_5,60.58181818181818,avg of last 10h
H02,H,2,Empty,,,avg of last 10h
H03,H,3,Empty,,,avg of last 10h
H04,H,4,Empty,,,avg of last 10h
H05,H,5,"VINC
0.5",VINC_0.5_5,68.50909090909092,avg of last 10h
H06,H,6,"VINC
0.5",VINC_0.5_6,64.97272727272728,avg of last 10h
H07,H,7,Empty,,,avg of last 10h
H08,H,8,Empty,,,avg of last 10h
H09,H,9,"VINC
1.5",VINC_1.5_5,30.818181818181817,avg of last 10h
H10,H,10,"VINC
1.5",VINC_1.5_6,34.83,avg of last 10h
H11,H,11,Empty,,,avg of last 10h
H12,H,12,Empty,,,avg of last 10h
H13,H,13,Empty,VINC_4.5_5,,avg of last 10h
H14,H,14,"VINC
4.5",VINC_4.5_6,34.872727272727275,avg of last 10h
H15,H,15,Empty,,,avg of last 10h
H16,H,16,Empty,,,avg of last 10h
H17,H,17,Empty,VINC_13.5_5,,avg of last 10h
H18,H,18,"VINC
13.5",VINC_13.5_6,69.3090909090909,avg of last 10h
H19,H,19,"VINC
13.5",VINC_13.5_7,71.35454545454546,avg of last 10h
H20,H,20,Empty,,,avg of last 10h
H21,H,21,Empty,DMSO_0.3_5,,avg of last 10h
H22,H,22,Empty,,,avg of last 10h
H23,H,23,Empty,,,avg of last 10h
H24,H,24,Empty,,,avg of last 10h
