Product Name,Target,Pathway
Docosanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Betulin,Apoptosis; Endogenous Metabolite; Fatty Acid Synthase (FASN),Apoptosis; Metabolic Enzyme/Protease
Ergosterol,Endogenous Metabolite,Metabolic Enzyme/Protease
Desmosterol,Endogenous Metabolite,Metabolic Enzyme/Protease
Daucosterol,Others,Others
S-(+)-Marmesin,COX; Lipoxygenase,Immunology/Inflammation; Metabolic Enzyme/Protease
D-Cysteine,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Methyl oleanonate,PPAR,Cell Cycle/DNA Damage
Lupeol,Androgen Receptor; Apoptosis,Apoptosis; Others
Heneicosane,Fungal,Anti-infection
Cholestenone,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,2-Dipalmitoyl-sn-glycerol",Endogenous Metabolite,Metabolic Enzyme/Protease
Uric acid,Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Chicoric acid,Apoptosis; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
L-DABA,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Pyrroloquinoline quinone (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
Cyclic AMP,Endogenous Metabolite,Metabolic Enzyme/Protease
Sphingomyelin,Endogenous Metabolite,Metabolic Enzyme/Protease
Beta-Sitosterol (purity>80%),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Edaravone,Apoptosis; MMP,Apoptosis; Metabolic Enzyme/Protease
Niacin,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Nodakenetin,Others,Others
2-Aminoquinoline,NO Synthase; Orthopoxvirus,Anti-infection; Immunology/Inflammation
Ellagic acid,Casein Kinase; Endogenous Metabolite; Reactive Oxygen Species,Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; Stem Cell/Wnt
O-Nornuciferine,Endogenous Metabolite; Potassium Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
N-Acetyl-D-glucosamine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Isomangostin,DNA/RNA Synthesis,Cell Cycle/DNA Damage
Flusilazole,Fungal,Anti-infection
Gossypol (acetic acid),Bcl-2 Family,Apoptosis
trans-Cinnamic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Vicenin 3,Angiotensin-converting Enzyme (ACE),Metabolic Enzyme/Protease
Citric acid,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Arbutin,Endogenous Metabolite; Tyrosinase,Metabolic Enzyme/Protease
Irigenin,Integrin,Cytoskeleton
Chrysosplenetin,Cytochrome P450; Ferroptosis; P-glycoprotein,Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
cis-3-Hexen-1-ol,Others,Others
(-)-Epiafzelechin,Others,Others
Moracin M,Endogenous Metabolite; Phosphodiesterase (PDE),Metabolic Enzyme/Protease
δ-Tocotrienol,Others,Others
Cinnamoylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
TRIA-662,Endogenous Metabolite,Metabolic Enzyme/Protease
Rebaudioside A,Endogenous Metabolite; Glucosidase,Metabolic Enzyme/Protease
Biotin,Endogenous Metabolite,Metabolic Enzyme/Protease
Cinnamtannin B-1,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
"1,4-Naphthoquinone",Monoamine Oxidase,Neuronal Signaling
2-Oxovaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Sulbactam (sodium),Antibiotic; Bacterial,Anti-infection
Engeletin,NF-κB,NF-κB
Spermine,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
Anethole,Others,Others
Ursodeoxycholic acid,Endogenous Metabolite; FXR; G protein-coupled Bile Acid Receptor 1,GPCR/G Protein; Metabolic Enzyme/Protease
Sorafenib (Tosylate),Apoptosis; Autophagy; Ferroptosis; FLT3; Raf; VEGFR,Apoptosis; Autophagy; MAPK/ERK Pathway; Protein Tyrosine Kinase/RTK
Phosphocreatine (disodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Butein,Apoptosis; Autophagy; EGFR; Phosphodiesterase (PDE),Apoptosis; Autophagy; JAK/STAT Signaling; Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
Sinapinic acid,Angiotensin-converting Enzyme (ACE); Apoptosis; HDAC; Reactive Oxygen Species,Apoptosis; Cell Cycle/DNA Damage; Epigenetics; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Vanillin acetate,Others,Others
Isobutyryl-L-carnitine (chloride),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Cysteine (hydrochloride hydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
Tectochrysin,NF-κB,NF-κB
Ajmaline,Sodium Channel,Membrane Transporter/Ion Channel
DL-Dopa,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,3-Dithiane",Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
4'-Methylacetophenone,Others,Others
Ursocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isosilybin,Cytochrome P450,Metabolic Enzyme/Protease
"1-Phenylpropane-1,2-dione",Others,Others
Linarin,Cholinesterase (ChE),Neuronal Signaling
Curcumol,Apoptosis,Apoptosis
2-Acetylfuran,Others,Others
"Enterostatin(human,mouse,rat)",Endogenous Metabolite,Metabolic Enzyme/Protease
5-Methylfurfural,Others,Others
Spermidine,Endogenous Metabolite,Metabolic Enzyme/Protease
Stachydrine hydrochloride,Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
Nicotinamide,Endogenous Metabolite; Sirtuin,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Demethoxyencecalin,Fungal,Anti-infection
Ketoisophorone,Others,Others
2-Isobutyl-3-methoxypyrazine,Others,Others
Thiamine (hydrochloride),Apoptosis; Bacterial; Endogenous Metabolite; HBV,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
3-Pentanol,Bacterial,Anti-infection
Glycyl-L-leucine,Endogenous Metabolite,Metabolic Enzyme/Protease
Tetragastrin,Cholecystokinin Receptor,GPCR/G Protein; Neuronal Signaling
8-Deoxygartanin,NF-κB; Parasite,Anti-infection; NF-κB
α-Terpineol,Bacterial,Anti-infection
Morphiceptin,Opioid Receptor,GPCR/G Protein; Neuronal Signaling
For-Met-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
Chrysoeriol,Endogenous Metabolite,Metabolic Enzyme/Protease
Isobergapten,Others,Others
Traumatic Acid,Apoptosis; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
4-Hydroxycoumarin,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Tomatidine (hydrochloride),Autophagy; Endogenous Metabolite; JNK; NF-κB,Autophagy; MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
2'-Deoxyguanosine monohydrate,Endogenous Metabolite,Metabolic Enzyme/Protease
Sesamin,Others,Others
Ethyl palmitate,Others,Others
Procyanidin A2,Bacterial,Anti-infection
3-Methylcrotonylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
γ-Hexalactone,Endogenous Metabolite,Metabolic Enzyme/Protease
(Z)-Ligustilide,Bacterial,Anti-infection
Creatinine,Endogenous Metabolite,Metabolic Enzyme/Protease
N8-Acetylspermidine dihydrochloride,Endogenous Metabolite,Metabolic Enzyme/Protease
1-​Furfurylpyrrole,Others,Others
Pyrrole-2-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Carmustine,DNA Alkylator/Crosslinker,Cell Cycle/DNA Damage
β-Boswellic acid,DNA/RNA Synthesis; Lipoxygenase,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Cedrol,Cytochrome P450; Fungal,Anti-infection; Metabolic Enzyme/Protease
Schaftoside,Autophagy; Dynamin; Mitochondrial Metabolism; MyD88; Toll-like Receptor (TLR),Autophagy; Cytoskeleton; Immunology/Inflammation; Metabolic Enzyme/Protease
DIMBOA,Antibiotic; Bacterial; Fungal,Anti-infection
N-p-trans-Coumaroyltyramine,Cholinesterase (ChE); Parasite,Anti-infection; Neuronal Signaling
Pectolinarigenin,COX; Lipoxygenase,Immunology/Inflammation; Metabolic Enzyme/Protease
Tetrahydrocortisone,Endogenous Metabolite,Metabolic Enzyme/Protease
Veratric acid,COX; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Secologanin,Others,Others
Guaiol,Autophagy,Autophagy
Inosine,Adenosine Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease
Indolelactic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isofraxidin,COX; MMP; Toll-like Receptor (TLR),Immunology/Inflammation; Metabolic Enzyme/Protease
5-Methoxytryptophol,Endogenous Metabolite,Metabolic Enzyme/Protease
Phthalide,Others,Others
Isopimpinellin,DNA/RNA Synthesis; Parasite,Anti-infection; Cell Cycle/DNA Damage
Maltol,Endogenous Metabolite,Metabolic Enzyme/Protease
10-Undecenoic acid (zinc salt),Antibiotic; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Tylosin,Antibiotic; Bacterial,Anti-infection
Hispidol,TNF Receptor,Apoptosis
Hesperin,Keap1-Nrf2,NF-κB
Ouabain (Octahydrate),Autophagy; Na+/K+ ATPase,Autophagy; Membrane Transporter/Ion Channel
Cyclo(his-pro) (TFA),Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
Isophorone,Others,Others
Ganoderic acid B,HIV Protease,Anti-infection; Metabolic Enzyme/Protease
Pyridoxine,Endogenous Metabolite; Keap1-Nrf2,Metabolic Enzyme/Protease; NF-κB
Stearic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Sequoyitol,Others,Others
Ethyl Vanillate,Fungal,Anti-infection
5-Methyl-2'-deoxycytidine,DNA Methyltransferase; Endogenous Metabolite,Epigenetics; Metabolic Enzyme/Protease
Mequinol,Others,Others
Ginsenoside Rb1,Autophagy; HSV; IRAK; Mitophagy; Na+/K+ ATPase; NF-κB,Anti-infection; Autophagy; Immunology/Inflammation; Membrane Transporter/Ion Channel; NF-κB
Salicyl alcohol,Others,Others
Ginsenoside Rg2,Amyloid-β; NF-κB,Neuronal Signaling; NF-κB
D-α-Tocopherylquinone,Others,Others
Soyasapogenol B,Apoptosis; Autophagy,Apoptosis; Autophagy
5β-Dihydrocortisol,Apoptosis; Drug Metabolite,Apoptosis; Metabolic Enzyme/Protease
Brevifolincarboxylic acid,Aryl Hydrocarbon Receptor; Glucosidase,Immunology/Inflammation; Metabolic Enzyme/Protease
Diallyl Trisulfide,Apoptosis; Fungal; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
DiosMetin 7-O-β-D-Glucuronide,Others,Others
Garcinone C,ATM/ATR; CDK; STAT,Cell Cycle/DNA Damage; JAK/STAT Signaling; PI3K/Akt/mTOR; Stem Cell/Wnt
Morin,Others,Others
p-Anisic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
"3,7,4'-Trihydroxyflavone",Others,Others
Acevaltrate,Na+/K+ ATPase,Membrane Transporter/Ion Channel
Chelidonic acid,Caspase; NF-κB,Apoptosis; NF-κB
(+)-Isolariciresinol,Others,Others
Liquiritigenin-7-O-β-D-glucopyranosyl-(1→2)-β-D-apiofuranoside,Others,Others
Plumbagin,Others,Others
"1,3,5-Trimethoxybenzene",Endogenous Metabolite,Metabolic Enzyme/Protease
Chrysophanein,Others,Others
Levomenol,Apoptosis,Apoptosis
4-Ethylphenol,Endogenous Metabolite,Metabolic Enzyme/Protease
"7,4'-Dihydroxyflavone",CCR; NF-κB,GPCR/G Protein; Immunology/Inflammation; NF-κB
"2,4,6-Trimethylphenol",Others,Others
Brassinolide,Apoptosis,Apoptosis
Nonanal,Others,Others
"(2R,3R)-Butane-2,3-diol",Endogenous Metabolite,Metabolic Enzyme/Protease
Epibrassinolide,Apoptosis,Apoptosis
"1,2,3-Trimethoxybenzene",Others,Others
Nepetin,Interleukin Related,Immunology/Inflammation
Oxypeucedanin,Apoptosis; Potassium Channel,Apoptosis; Membrane Transporter/Ion Channel
(R)-pyrrolidine-2-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Procyanidin A1,PKC,Epigenetics; TGF-beta/Smad
5-Methoxysalicylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Hydroxocobalamin (acetate),Endogenous Metabolite,Metabolic Enzyme/Protease
Luteolin 7-O-glucuronide,MMP,Metabolic Enzyme/Protease
Methyl laurate,Others,Others
Quercetin 3-gentiobioside,Aldose Reductase,Metabolic Enzyme/Protease
β-Caryophyllene,Cannabinoid Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
"1,2-Distearoyl-sn-glycero-3-phosphorylcholine",Others,Others
3-Methyluridine,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Undecanone,Others,Others
2-Benzylsuccinic acid,Carboxypeptidase,Metabolic Enzyme/Protease
Asiatic acid,Apoptosis; Parasite,Anti-infection; Apoptosis
Picrocrocin,Apoptosis,Apoptosis
Rotenone,Apoptosis; Autophagy; Mitochondrial Metabolism,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Neoliquiritin,Others,Others
Dihydrocapsaicin,Akt; Apoptosis; Bcl-2 Family; Caspase; PI3K; Reactive Oxygen Species; TRP Channel,Apoptosis; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB; PI3K/Akt/mTOR
Ethyl gallate,Bacterial,Anti-infection
Vanillyl alcohol,Apoptosis,Apoptosis
Notoginsenoside R1,Amyloid-β; Apoptosis,Apoptosis; Neuronal Signaling
Protocatechualdehyde,Bacterial; Endogenous Metabolite; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Isoscopoletin,HBV,Anti-infection
Pristane,Others,Others
Glutathione oxidized,Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Jaceosidin,Apoptosis; Bcl-2 Family; COX,Apoptosis; Immunology/Inflammation
Garcinol,Apoptosis; Cholinesterase (ChE); Endogenous Metabolite; Histone Acetyltransferase,Apoptosis; Epigenetics; Metabolic Enzyme/Protease; Neuronal Signaling
Araloside A,Renin,Metabolic Enzyme/Protease
Methyl Salicylate,COX,Immunology/Inflammation
(E)-2-Decenoic acid,Others,Others
Capsaicinoid,Apoptosis; Autophagy; Endogenous Metabolite; TRP Channel,Apoptosis; Autophagy; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
"1,3-Butanediol",Endogenous Metabolite,Metabolic Enzyme/Protease
Propionylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
Sakuranetin,Fungal,Anti-infection
Synephrine (hydrochloride),Adrenergic Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Tussilagone,Others,Others
Cynaropicrin,MMP; NF-κB; TNF Receptor,Apoptosis; Metabolic Enzyme/Protease; NF-κB
"5,​7,​4'-​Trimethoxyflavone",Apoptosis; Caspase; Endogenous Metabolite; PARP,Apoptosis; Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Germacrone,Influenza Virus,Anti-infection
Tricin,CMV,Anti-infection
Biorobin,Others,Others
Arachidic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glaucine,Adrenergic Receptor; Calcium Channel; Dopamine Receptor; Influenza Virus; Phosphodiesterase (PDE),Anti-infection; GPCR/G Protein; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Demethylsuberosin,Others,Others
Adenine,DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Kaempferol 3-O-β-D-glucuronide,Interleukin Related,Immunology/Inflammation
Isoliensinine,Apoptosis,Apoptosis
Cucurbitacin D,HSP,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Coniferin,Fungal,Anti-infection
Cyanidin-3-O-galactoside (chloride),Cholinesterase (ChE),Neuronal Signaling
Neoglycyrol,Others,Others
Atropine,Endogenous Metabolite; mAChR,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
2'-Deoxycytidine,Endogenous Metabolite,Metabolic Enzyme/Protease
7β-Hydroxycholesterol,Others,Others
Thiamine nitrate,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
MeAIB,Others,Others
Allicin,Antibiotic; Bacterial,Anti-infection
Apigenin 7-glucoside,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Isohomovanillic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ethyl Caffeate,COX; NF-κB; NO Synthase; PGE synthase,Immunology/Inflammation; NF-κB
Bis(2-methyl-3-furyl)disulfide,Others,Others
"2,3-Pentanedione",Others,Others
Dihydrocoumarin,Sirtuin,Cell Cycle/DNA Damage; Epigenetics
2-Methylthiophene,Others,Others
Narirutin,Bacterial,Anti-infection
Cyanidin (Chloride),RANKL/RANK ,NF-κB
Potassium sorbate,Antibiotic; Bacterial; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Phloretin,Endogenous Metabolite; GLUT; SGLT,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
Scutellarein tetramethyl ether,Bacterial,Anti-infection
Kaempferol 3-O-gentiobioside,Glucosidase,Metabolic Enzyme/Protease
Benzyl benzoate,Endogenous Metabolite; Parasite,Anti-infection; Metabolic Enzyme/Protease
Taurochenodeoxycholic acid (sodium),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
γ-Oryzanol,DNA Methyltransferase,Epigenetics
"3,3-Dimethylglutaric acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Sulbactam,Antibiotic; Bacterial,Anti-infection
Kaempferol 3-O-sophoroside,Others,Others
Pterostilbene,Autophagy,Autophagy
Scoparone,Others,Others
"2,2,5,7,8-Pentamethyl-6-Chromanol",Androgen Receptor,Others
ω-Pentadecalactone,Others,Others
Arctigenin,Apoptosis; Autophagy; Influenza Virus; MMP,Anti-infection; Apoptosis; Autophagy; Metabolic Enzyme/Protease
Prunin,Enterovirus; Phosphatase,Anti-infection; Metabolic Enzyme/Protease
25-Hydroxycholesterol,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,2-Dimethoxybenzene",Others,Others
Aceglutamide,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Prostaglandin E2,Endogenous Metabolite; Prostaglandin Receptor,GPCR/G Protein; Metabolic Enzyme/Protease
Glycolic acid,Endogenous Metabolite; Tyrosinase,Metabolic Enzyme/Protease
Acacetin,Apoptosis; Autophagy,Apoptosis; Autophagy
Tracheloside,Estrogen Receptor/ERR,Others
Tomatidine,Autophagy; Endogenous Metabolite; JNK; NF-κB,Autophagy; MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
Tropinone,Others,Others
Elemicin,Influenza Virus; Stearoyl-CoA Desaturase (SCD),Anti-infection; Metabolic Enzyme/Protease
Pregnenolone monosulfate (sodium),Autophagy; Cannabinoid Receptor; Endogenous Metabolite; TRP Channel,Autophagy; GPCR/G Protein; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Eriocitrin,Apoptosis,Apoptosis
Nevadensin,Bacterial,Anti-infection
Trifolirhizin,Tyrosinase,Metabolic Enzyme/Protease
3-Hydroxycapric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Docosahexaenoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ferroheme,Others,Others
Bilobalide,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
3-Methyl-2-buten-1-ol,Endogenous Metabolite,Metabolic Enzyme/Protease
Sorafenib,Apoptosis; Autophagy; Ferroptosis; FLT3; Raf; VEGFR,Apoptosis; Autophagy; MAPK/ERK Pathway; Protein Tyrosine Kinase/RTK
Cuminaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Gynostemma Extract,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,3-Dihydroxyacetone",Endogenous Metabolite,Metabolic Enzyme/Protease
Decyl aldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Furoylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
Poncirin,Apoptosis,Apoptosis
Rhoifolin,Autophagy; GLUT; Insulin Receptor; NF-κB; p38 MAPK,Autophagy; MAPK/ERK Pathway; Membrane Transporter/Ion Channel; NF-κB; Protein Tyrosine Kinase/RTK
Chrysophanol 8-O-glucoside,Elastase,Metabolic Enzyme/Protease
Urea,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Pantothenic acid (sodium),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Taurodeoxycholic acid (sodium hydrate),Apoptosis; Caspase; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Cirsimaritin,GABA Receptor,Membrane Transporter/Ion Channel; Neuronal Signaling
Ganoderic acid DM,Apoptosis; PI3K,Apoptosis; PI3K/Akt/mTOR
Alpha-Estradiol,5 alpha Reductase; Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Octanal,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Dinoprost (tromethamine salt),Apoptosis; Autophagy; Endogenous Metabolite; Prostaglandin Receptor,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease
Tetradecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
(-​)​-​α-​Terpineol,Others,Others
Tridecane,Others,Others
21-Hydroxypregnenolone,Endogenous Metabolite,Metabolic Enzyme/Protease
Levoglucosan,Endogenous Metabolite,Metabolic Enzyme/Protease
Skimmin,Others,Others
Corosolic acid,Autophagy,Autophagy
Formononetin,Apoptosis; FGFR,Apoptosis; Protein Tyrosine Kinase/RTK
Monomethyl fumarate,Drug Metabolite; GPR109A,GPCR/G Protein; Metabolic Enzyme/Protease
Smilagenin,Endogenous Metabolite; mAChR,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
11-Beta-hydroxyandrostenedione,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyldopa (hydrate),Adrenergic Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Riboflavin,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Ganoderic acid I,Others,Others
5-Aminolevulinic acid (hydrochloride),Apoptosis; Autophagy; Endogenous Metabolite; Mitophagy,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Valencene,NF-κB,NF-κB
"3,4,5-Trimethoxybenzoic acid",Others,Others
Ursolic acid acetate,Others,Others
1-Methylinosine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
trans-trans-Muconic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Baicalein,Ferroptosis; Influenza Virus; Xanthine Oxidase,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
5-Methylcytidine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Glycyrrhizic acid,Virus Protease,Anti-infection
Curcumin,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB
Coenzyme A,Others,Others
"N,N',N''-Triacetylchitotriose",Others,Others
Arachidonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
